Time,Temperature,Dew Point,Humidity,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,Solar
12:12 AM,82.7 °F,65 °F,56%,East ,0 mph,2 mph,29.79 in,0 in,0 in,0 w/m²
12:27 AM,82 °F,65 °F,57%,ENE ,1 mph,3 mph,29.79 in,0 in,0 in,0 w/m²
12:42 AM,82.7 °F,64 °F,54%,NE ,0 mph,0 mph,29.79 in,0 in,0 in,0 w/m²
12:57 AM,81.4 °F,66 °F,59%,SE ,0 mph,1 mph,29.79 in,0 in,0 in,0 w/m²
1:12 AM,80.9 °F,65 °F,59%,SE ,0 mph,0 mph,29.78 in,0 in,0 in,0 w/m²
1:27 AM,80 °F,66 °F,62%,SE ,0 mph,0 mph,29.78 in,0 in,0 in,0 w/m²
1:42 AM,79.2 °F,67 °F,66%,SE ,0 mph,0 mph,29.78 in,0 in,0 in,0 w/m²
1:57 AM,79.1 °F,67 °F,67%,SE ,0 mph,0 mph,29.78 in,0 in,0 in,0 w/m²
2:12 AM,79.2 °F,68 °F,68%,ESE ,0 mph,0 mph,29.78 in,0 in,0 in,0 w/m²
2:27 AM,79.2 °F,68 °F,68%,ESE ,0 mph,1 mph,29.77 in,0 in,0 in,0 w/m²
2:42 AM,79.5 °F,67 °F,66%,East ,0 mph,0 mph,29.78 in,0 in,0 in,0 w/m²
2:57 AM,79.3 °F,67 °F,67%,NE ,3 mph,4 mph,29.77 in,0 in,0 in,0 w/m²
3:12 AM,80.2 °F,66 °F,62%,NE ,0 mph,3 mph,29.77 in,0 in,0 in,0 w/m²
3:27 AM,78.7 °F,67 °F,68%,East ,0 mph,2 mph,29.77 in,0 in,0 in,0 w/m²
3:42 AM,77.9 °F,67 °F,68%,East ,0 mph,1 mph,29.77 in,0 in,0 in,0 w/m²
3:57 AM,77.4 °F,66 °F,69%,East ,0 mph,0 mph,29.78 in,0 in,0 in,0 w/m²
4:13 AM,77.1 °F,66 °F,69%,East ,0 mph,2 mph,29.78 in,0 in,0 in,0 w/m²
4:28 AM,76.3 °F,66 °F,71%,East ,0 mph,0 mph,29.78 in,0 in,0 in,0 w/m²
4:43 AM,76.1 °F,66 °F,71%,East ,0 mph,2 mph,29.79 in,0 in,0 in,0 w/m²
4:58 AM,75.3 °F,67 °F,74%,East ,0 mph,0 mph,29.79 in,0 in,0 in,0 w/m²
5:13 AM,75.4 °F,66 °F,73%,East ,0 mph,0 mph,29.79 in,0 in,0 in,0 w/m²
5:28 AM,74.9 °F,66 °F,73%,East ,0 mph,1 mph,29.79 in,0 in,0 in,0 w/m²
5:43 AM,74.4 °F,67 °F,78%,East ,0 mph,0 mph,29.8 in,0 in,0 in,5 w/m²
5:58 AM,74.6 °F,66 °F,74%,East ,0 mph,0 mph,29.81 in,0 in,0 in,11 w/m²
6:13 AM,75.2 °F,66 °F,73%,East ,0 mph,1 mph,29.81 in,0 in,0 in,30 w/m²
6:28 AM,75.8 °F,65 °F,70%,East ,0 mph,0 mph,29.82 in,0 in,0 in,65 w/m²
6:43 AM,78.2 °F,67 °F,69%,East ,0 mph,0 mph,29.82 in,0 in,0 in,121 w/m²
7:13 AM,80.5 °F,66 °F,62%,East ,0 mph,0 mph,29.83 in,0 in,0 in,207 w/m²
7:28 AM,81.8 °F,67 °F,62%,East ,0 mph,0 mph,29.83 in,0 in,0 in,265 w/m²
7:43 AM,83.9 °F,66 °F,56%,East ,0 mph,0 mph,29.84 in,0 in,0 in,313 w/m²
7:58 AM,85.1 °F,67 °F,55%,East ,0 mph,0 mph,29.84 in,0 in,0 in,364 w/m²
8:13 AM,85.7 °F,66 °F,52%,East ,0 mph,0 mph,29.84 in,0 in,0 in,406 w/m²
8:28 AM,87.2 °F,66 °F,50%,North ,0 mph,1 mph,29.84 in,0 in,0 in,450 w/m²
8:43 AM,87.8 °F,66 °F,48%,NW ,0 mph,4 mph,29.84 in,0 in,0 in,439 w/m²
8:59 AM,88.3 °F,66 °F,48%,NW ,0 mph,1 mph,29.85 in,0 in,0 in,371 w/m²
9:29 AM,90.9 °F,63 °F,40%,WNW ,0 mph,0 mph,29.85 in,0 in,0 in,673 w/m²
9:44 AM,90.6 °F,64 °F,41%,WNW ,0 mph,2 mph,29.85 in,0 in,0 in,680 w/m²
9:59 AM,91.7 °F,63 °F,39%,NW ,2 mph,3 mph,29.85 in,0 in,0 in,719 w/m²
10:14 AM,92.8 °F,64 °F,38%,West ,0 mph,1 mph,29.85 in,0 in,0 in,740 w/m²
10:29 AM,94.1 °F,63 °F,36%,West ,1 mph,2 mph,29.84 in,0 in,0 in,766 w/m²
10:44 AM,94.2 °F,62 °F,34%,WNW ,0 mph,4 mph,29.84 in,0 in,0 in,798 w/m²
10:59 AM,95.7 °F,62 °F,33%,WSW ,0 mph,5 mph,29.84 in,0 in,0 in,824 w/m²
11:14 AM,95.5 °F,60 °F,31%,East ,0 mph,3 mph,29.84 in,0 in,0 in,844 w/m²
11:29 AM,97.4 °F,60 °F,29%,WSW ,5 mph,7 mph,29.83 in,0 in,0 in,865 w/m²
11:44 AM,98.3 °F,60 °F,28%,NNW ,1 mph,5 mph,29.83 in,0 in,0 in,879 w/m²
11:59 AM,98.5 °F,61 °F,29%,WNW ,1 mph,5 mph,29.82 in,0 in,0 in,888 w/m²
12:14 PM,98.3 °F,59 °F,27%,NNW ,0 mph,8 mph,29.82 in,0 in,0 in,896 w/m²
12:29 PM,100.2 °F,60 °F,26%,West ,2 mph,10 mph,29.81 in,0 in,0 in,896 w/m²
12:44 PM,100.3 °F,60 °F,26%,West ,6 mph,9 mph,29.8 in,0 in,0 in,900 w/m²
12:59 PM,100.6 °F,58 °F,24%,West ,0 mph,7 mph,29.79 in,0 in,0 in,898 w/m²
1:14 PM,100.6 °F,59 °F,25%,West ,0 mph,9 mph,29.79 in,0 in,0 in,891 w/m²
1:29 PM,101.4 °F,58 °F,24%,NW ,6 mph,12 mph,29.78 in,0 in,0 in,877 w/m²
1:44 PM,101.1 °F,59 °F,25%,WNW ,4 mph,7 mph,29.78 in,0 in,0 in,861 w/m²
1:59 PM,100.1 °F,60 °F,26%,West ,0 mph,8 mph,29.77 in,0 in,0 in,846 w/m²
2:14 PM,101.3 °F,60 °F,25%,West ,9 mph,11 mph,29.76 in,0 in,0 in,821 w/m²
2:29 PM,102.5 °F,59 °F,24%,WSW ,9 mph,13 mph,29.76 in,0 in,0 in,791 w/m²
2:44 PM,102.5 °F,59 °F,24%,WSW ,9 mph,12 mph,29.75 in,0 in,0 in,761 w/m²
2:59 PM,102 °F,59 °F,24%,NW ,0 mph,10 mph,29.75 in,0 in,0 in,726 w/m²
3:14 PM,102.1 °F,59 °F,24%,West ,3 mph,10 mph,29.75 in,0 in,0 in,689 w/m²
3:29 PM,102.9 °F,59 °F,23%,West ,12 mph,12 mph,29.74 in,0 in,0 in,657 w/m²
3:45 PM,101.9 °F,58 °F,23%,SW ,2 mph,10 mph,29.74 in,0 in,0 in,628 w/m²
4:00 PM,102.2 °F,58 °F,23%,West ,10 mph,12 mph,29.74 in,0 in,0 in,589 w/m²
4:30 PM,102.5 °F,58 °F,23%,West ,9 mph,11 mph,29.73 in,0 in,0 in,501 w/m²
4:45 PM,101.7 °F,58 °F,23%,NW ,0 mph,12 mph,29.73 in,0 in,0 in,439 w/m²
5:00 PM,101.4 °F,57 °F,23%,SW ,4 mph,9 mph,29.73 in,0 in,0 in,394 w/m²
5:15 PM,101.4 °F,57 °F,23%,West ,8 mph,8 mph,29.73 in,0 in,0 in,353 w/m²
5:30 PM,101 °F,56 °F,22%,NW ,0 mph,6 mph,29.73 in,0 in,0 in,311 w/m²
5:45 PM,100.7 °F,55 °F,22%,WNW ,1 mph,10 mph,29.72 in,0 in,0 in,260 w/m²
6:00 PM,100.1 °F,55 °F,22%,West ,4 mph,11 mph,29.71 in,0 in,0 in,183 w/m²
6:15 PM,99.2 °F,55 °F,23%,WNW ,0 mph,9 mph,29.72 in,0 in,0 in,39 w/m²
6:30 PM,98.4 °F,56 °F,24%,West ,3 mph,7 mph,29.72 in,0 in,0 in,67 w/m²
6:45 PM,97.3 °F,55 °F,24%,West ,0 mph,6 mph,29.71 in,0 in,0 in,30 w/m²
7:00 PM,95.9 °F,56 °F,26%,West ,0 mph,0 mph,29.71 in,0 in,0 in,12 w/m²
7:15 PM,93.2 °F,58 °F,31%,West ,0 mph,0 mph,29.72 in,0 in,0 in,5 w/m²
7:45 PM,92 °F,60 °F,34%,South ,3 mph,8 mph,29.74 in,0 in,0 in,0 w/m²
8:00 PM,92.9 °F,61 °F,34%,South ,6 mph,9 mph,29.75 in,0 in,0 in,0 w/m²
8:30 PM,91.9 °F,62 °F,37%,SSW ,7 mph,9 mph,29.76 in,0 in,0 in,0 w/m²
8:45 PM,91.7 °F,62 °F,37%,South ,0 mph,7 mph,29.77 in,0 in,0 in,0 w/m²
9:00 PM,90.3 °F,62 °F,39%,NNE ,5 mph,6 mph,29.77 in,0 in,0 in,0 w/m²
9:15 PM,90.7 °F,62 °F,39%,NNE ,0 mph,6 mph,29.79 in,0 in,0 in,0 w/m²
9:30 PM,91.2 °F,61 °F,37%,WNW ,0 mph,3 mph,29.79 in,0 in,0 in,0 w/m²
9:45 PM,89.8 °F,62 °F,40%,NNW ,2 mph,3 mph,29.8 in,0 in,0 in,0 w/m²
10:00 PM,89.4 °F,63 °F,41%,NE ,0 mph,0 mph,29.8 in,0 in,0 in,0 w/m²
10:15 PM,87.6 °F,64 °F,45%,NNW ,0 mph,0 mph,29.8 in,0 in,0 in,0 w/m²
10:45 PM,87.1 °F,64 °F,47%,SW ,0 mph,0 mph,29.79 in,0 in,0 in,0 w/m²
11:00 PM,86.6 °F,65 °F,48%,SW ,0 mph,0 mph,29.8 in,0 in,0 in,0 w/m²
11:15 PM,87.4 °F,64 °F,46%,SW ,2 mph,2 mph,29.81 in,0 in,0 in,0 w/m²
11:30 PM,87 °F,64 °F,47%,SW ,0 mph,0 mph,29.81 in,0 in,0 in,0 w/m²
11:45 PM,87.2 °F,64 °F,46%,SW ,0 mph,4 mph,29.8 in,0 in,0 in,0 w/m²
